Loss,MAE,MAPE,MSE,RMSE,valLoss,valMAE,valMAPE,valMSE,valRMSE
0.0528070479631423,0.198734238743782,98.33495331,0.0528070479631423,0.229797840118408,0.0504151172935962,0.199689581990242,86.16996765,0.0504151172935962,0.224533110857009
0.0520514994859695,0.196948587894439,97.63059998,0.0520514994859695,0.228147983551025,0.049261026084423,0.196944266557693,85.13378906,0.049261026084423,0.221948251128196
0.0508840158581733,0.194275513291358,96.53379059,0.0508840158581733,0.225574851036071,0.0484432689845562,0.194972231984138,84.38946533,0.0484432689845562,0.220098316669464
0.0500479340553283,0.192289322614669,95.76210022,0.0500479340553283,0.2237139493227,0.0473282672464847,0.192245930433273,83.36048126,0.0473282672464847,0.217550605535507
0.0489231534302234,0.189545184373855,94.66734314,0.0489231534302234,0.221185788512229,0.0466084331274032,0.190471276640892,82.6889801,0.0466084331274032,0.215889856219291
0.0481800697743892,0.18783476948738,93.92023468,0.0481800697743892,0.219499588012695,0.0454097874462604,0.1874930113554,81.55847168,0.0454097874462604,0.213095724582672
0.0469634979963302,0.184767842292785,92.70908356,0.0469634979963302,0.21671062707901,0.0442475788295269,0.184572324156761,80.44609833,0.0442475788295269,0.210351079702377
0.0457857809960842,0.181863769888877,91.55828857,0.0457857809960842,0.213976129889488,0.0432890355587005,0.182134002447128,79.51524353,0.0432890355587005,0.208060175180435
0.0448147393763065,0.179352715611457,90.55818939,0.0448147393763065,0.211694926023483,0.042357463389635,0.179732963442802,78.59748077,0.042357463389635,0.205809295177459
0.0438696257770061,0.176982134580612,89.58209991,0.0438696257770061,0.209450766444206,0.0416572615504264,0.177930384874343,77.90348816,0.0416572615504264,0.204101100564003
Evaluation Only. Created with Aspose.Cells for .NET.Copyright 2003 - 2022 Aspose Pty Ltd.